irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-21.12837977404,13.448179131649791
-19,B,-21.12810157351,13.62275259989518
-18,B,-21.12781410621,13.803141054111327
-17,B,-21.12751620521,13.990076753925221
-16,B,-21.12724206893,14.16209986679335
-15,B,-21.12698952123,14.32057594117841
-14,B,-21.12638522145,14.699779778265073
-13,B,-21.12572789664,15.11225732403513
-12,B,-21.12501617662,15.558868379420582
-11,B,-21.12426631581,16.029413141876933
-10,B,-21.12347417855,16.526486777235014
-9,B,-21.12270130037,17.01147515743362
-8,B,-21.12240503987,17.19738142795607
-7,B,-21.12074260989,18.24057199026637
-6,B,-21.11864267772,19.5582993216994
-5,B,-21.1161173427,21.14297097177315
-4,B,-21.11304092301,23.073453473248396
-3,B,-21.10957840702,25.246215060850947
-2,B,-21.10606596478,27.45030584332756
-1,B,-21.10306099845,29.335950684453447
0,TS,-21.10126032571,30.465889888376957
1,F,-21.10316270565,29.272128452880114
2,F,-21.10706964168,26.820489079743776
3,F,-21.11237109562,23.493776506419405
4,F,-21.11866054487,19.547087515801326
5,F,-21.12559431434,15.196081482845054
6,F,-21.13274565007,10.708550560514974
7,F,-21.13910486216,6.718084726864348
8,F,-21.14337535791,4.03830818506307
9,F,-21.14599854915,2.3922308298483643
10,F,-21.14787291884,1.2160460915947198
11,F,-21.14894585806,0.5427665660195513
12,F,-21.14912057932,0.4331273200588995
13,F,-21.14917535826,0.3987530162348592
14,F,-21.14932741952,0.3033331349566893
15,F,-21.14947397203,0.21137004649351762
16,F,-21.14960549358,0.12883902783156806
17,F,-21.14972059919,0.056609167046054266
18,F,-21.1497600539,0.031850962727969265
19,F,-21.14981081164,0.0
