irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-21.40142537466,13.360658145103308
-19,B,-21.40114411563,13.537150851076555
-18,B,-21.40085275399,13.719983040535888
-17,B,-21.40055131546,13.90913857394076
-16,B,-21.40027243241,14.08414032995434
-15,B,-21.40005812521,14.21862012830092
-14,B,-21.3994724113,14.586161155878706
-13,B,-21.39882920522,14.989779064812767
-12,B,-21.39812383727,15.43240413609441
-11,B,-21.3973815047,15.898224856627484
-10,B,-21.39659335464,16.392796486211147
-9,B,-21.3958386083,16.866406965028077
-8,B,-21.39548216899,17.090076008959073
-7,B,-21.39385459079,18.11139674913545
-6,B,-21.39177511573,19.416287050232413
-5,B,-21.38929841211,20.970442036070956
-4,B,-21.38630210817,22.850651145405493
-3,B,-21.38294431916,24.957695560873468
-2,B,-21.37955894816,27.08204793637848
-1,B,-21.37683487772,28.79142794532141
0,TS,-21.37527424216,29.770741544683105
1,F,-21.37742897566,28.418625859488305
2,F,-21.38282428257,25.033019658325845
3,F,-21.38916475954,21.05431028997025
4,F,-21.39652830688,16.43361457187345
5,F,-21.40410538813,11.678924302231795
6,F,-21.41114224913,7.263227357510957
7,F,-21.41615675614,4.116576701294697
8,F,-21.41893131512,2.3755146551747965
9,F,-21.42087498442,1.1558437551012177
10,F,-21.4219476214,0.4827538879873287
11,F,-21.42206654423,0.40812868548880904
12,F,-21.42213937544,0.3624264112099421
13,F,-21.42230571744,0.2580452302858429
14,F,-21.42246100571,0.1606003696590775
15,F,-21.42259535837,0.07629280265312409
16,F,-21.42271693869,0.0
