irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-21.86744190311,14.037703361307067
-19,B,-21.86708059617,14.264426889179243
-18,B,-21.86670833212,14.498026107381703
-17,B,-21.86632609939,14.737880766730031
-16,B,-21.86593239564,14.984933599804029
-15,B,-21.86552816046,15.238595004980068
-14,B,-21.86511186257,15.499825874960285
-13,B,-21.86468437278,15.768079768222902
-12,B,-21.86424408434,16.044364935615647
-11,B,-21.86379177674,16.32819223977773
-10,B,-21.86332317494,16.622244308812142
-9,B,-21.86285648319,16.9150978033741
-8,B,-21.8624686122,17.158490524288883
-7,B,-21.86183324212,17.557191268985807
-6,B,-21.85985361242,18.79942766074709
-5,B,-21.85737177063,20.35680689694169
-4,B,-21.85433460056,22.262659890014703
-3,B,-21.85091301957,24.409734377298285
-2,B,-21.84742541416,26.59823981364759
-1,B,-21.84462382795,28.356261702651135
0,TS,-21.84300842673,29.369941272510363
1,F,-21.84530951864,27.925984298441342
2,F,-21.85145291067,24.070947597119538
3,F,-21.85838111817,19.72343175303189
4,F,-21.86644335052,14.664304571817933
5,F,-21.87419397127,9.800716621812787
6,F,-21.88064915695,5.750026451183567
7,F,-21.88457754966,3.284922808065054
8,F,-21.88698588829,1.7736675011412626
9,F,-21.88854665789,0.7942697904094032
10,F,-21.88878460662,0.6449547080083139
11,F,-21.88894796003,0.5424488956239018
12,F,-21.88917225134,0.4017039736622562
13,F,-21.88937858988,0.2722245849609522
14,F,-21.88954223682,0.16953457972044486
15,F,-21.88968597603,0.07933686365829241
16,F,-21.88981240737,0.0
