irc_step,direction,energy_hartree,rel_energy_kcal_mol
-14,B,-22.07149877868,0.0
-13,B,-22.0713719202,0.0796048980560151
-12,B,-22.07121838599,0.17594906941403377
-11,B,-22.07105583823,0.27794932879291806
-10,B,-22.07098913591,0.3198056665294789
-9,B,-22.0707259287,0.48497068442997265
-8,B,-22.06934663917,1.3504879318939762
-7,B,-22.06715929606,2.723066456306566
-6,B,-22.06380612597,4.827212455715849
-5,B,-22.05753063677,8.76514138270059
-4,B,-22.04888664907,14.189325557590735
-3,B,-22.03949682194,20.08153104088833
-2,B,-22.03150912117,25.093888949539444
-1,B,-22.02489408932,29.2448841062262
0,TS,-22.02274800858,30.591570102545827
1,F,-22.02443012016,29.53602914976899
2,F,-22.02736570675,27.693920752797446
3,F,-22.03083890372,25.514456749054958
4,F,-22.03413399273,23.44675717760732
5,F,-22.0369638055,21.671022854784503
6,F,-22.03930583619,20.20137640841162
7,F,-22.04125046826,18.981101361042487
8,F,-22.04186225621,18.597198626338695
9,F,-22.04217980267,18.397935214253646
10,F,-22.04262742459,18.117048218683976
11,F,-22.04308385188,17.830635770016514
12,F,-22.0435268942,17.552622516833207
13,F,-22.04395424613,17.28445513202603
14,F,-22.04437322586,17.02154138203704
15,F,-22.04477807529,16.767494529167585
16,F,-22.0451747883,16.518553356934785
17,F,-22.04555820709,16.277954433699453
18,F,-22.04593371018,16.04232268720713
19,F,-22.04629666888,15.814562664287363
20,F,-22.04665192085,15.591638687455566
