irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-21.12837977403,13.448179119098485
-19,B,-21.1281015735,13.622752587346104
-18,B,-21.1278141062,13.803141041562252
-17,B,-21.1275162052,13.990076741376145
-16,B,-21.12724206892,14.162099854242046
-15,B,-21.12698952122,14.320575928629335
-14,B,-21.12638522145,14.699779759440345
-13,B,-21.12572789665,15.112257298934749
-12,B,-21.12501617662,15.558868360595854
-11,B,-21.12426631581,16.029413123052205
-10,B,-21.12347417855,16.526486758410286
-9,B,-21.12270130037,17.01147513860889
-8,B,-21.12240503987,17.197381409131342
-7,B,-21.12074260989,18.240571971441643
-6,B,-21.11864267772,19.558299302874673
-5,B,-21.1161173427,21.14297095294842
-4,B,-21.11304092301,23.073453454423667
-3,B,-21.10957840702,25.24621504202622
-2,B,-21.10606596478,27.45030582450283
-1,B,-21.10306099845,29.33595066562872
0,TS,-21.10126032571,30.465889869552228
1,F,-21.10316270565,29.272128434055386
2,F,-21.10706964168,26.820489060919048
3,F,-21.11237109562,23.493776487594676
4,F,-21.11866054487,19.547087496976598
5,F,-21.12559431434,15.196081464020326
6,F,-21.13274565007,10.708550541690245
7,F,-21.13910486216,6.71808470803962
8,F,-21.14337535791,4.038308166238342
9,F,-21.14599854915,2.392230811023636
10,F,-21.14787291884,1.2160460727699913
11,F,-21.14894585806,0.5427665471948229
12,F,-21.14912057934,0.4331272886850952
13,F,-21.14917535828,0.39875298485882554
14,F,-21.14932741954,0.3033331035806557
15,F,-21.14947397205,0.211370015117484
16,F,-21.14960549359,0.1288390027334164
17,F,-21.14972059918,0.056609154496978425
18,F,-21.14976005386,0.031850969003621867
19,F,-21.14981081161,0.0
