irc_step,direction,energy_hartree,rel_energy_kcal_mol
-13,B,-12.55776538117,0.0
-12,B,-12.55772847464,0.023159197228086927
-11,B,-12.5576874981,0.048872364289418324
-10,B,-12.55763788062,0.0800078030655544
-9,B,-12.55758439141,0.11357278909728225
-8,B,-12.55754083496,0.14090487412642652
-7,B,-12.55749990492,0.16658886199703196
-6,B,-12.55737735556,0.2434897464298786
-5,B,-12.55652416133,0.7788772089172007
-4,B,-12.55507639298,1.6873655646991588
-3,B,-12.55196601394,3.6391578800306013
-2,B,-12.54830190845,5.938418788740709
-1,B,-12.54520227439,7.883468527323668
0,TS,-12.54336131703,9.038686711954119
1,F,-12.54515720691,7.911748797993178
2,F,-12.54799085412,6.133608327744434
3,F,-12.55085330032,4.337396218429148
4,F,-12.55241575003,3.356944222755197
5,F,-12.55319595506,2.867358174768382
6,F,-12.55332738363,2.7848855019388083
7,F,-12.55336216501,2.763059856469935
8,F,-12.55339544502,2.7421763349005226
9,F,-12.55344015166,2.7141224947493954
10,F,-12.5534806269,2.6887238981866552
11,F,-12.55351175722,2.669189327457993
