irc_step,direction,energy_hartree,rel_energy_kcal_mol
-7,B,-12.68910548169,4.773225079727028
-6,B,-12.68907902915,4.78982429918853
-5,B,-12.68905263615,4.80638615673509
-4,B,-12.68901105584,4.832478195192232
-3,B,-12.68877325013,4.981703531188727
-2,B,-12.6883986909,5.216742996587847
-1,B,-12.68783447455,5.5707941015985
0,TS,-12.68798467807,5.476539969770036
1,F,-12.68961041597,4.456374035279462
2,F,-12.69014025073,4.123897703724937
3,F,-12.69039345798,3.9650077554638252
4,F,-12.69064321513,3.8082827776397417
5,F,-12.69091137414,3.640010458326287
6,F,-12.69117956932,3.4717154419960656
7,F,-12.69145334792,3.299916776717333
8,F,-12.69173756649,3.1215669313555696
9,F,-12.69203252094,2.9364802195820086
10,F,-12.69234321251,2.7415183159149565
11,F,-12.69266803408,2.5376897033801096
12,F,-12.69301315581,2.321122548122043
13,F,-12.69337576563,2.0935814507067314
14,F,-12.69376395091,1.8499915098392092
15,F,-12.69417357507,1.5929484686601896
16,F,-12.69461525004,1.315793240556367
17,F,-12.69508285111,1.0223691390791148
18,F,-12.69558994145,0.7041651465545619
19,F,-12.69612743088,0.36688543705464355
20,F,-12.69671210004,0.0
