irc_step,direction,energy_hartree,rel_energy_kcal_mol
-6,B,-11.8267427529,0.23908510682965795
-5,B,-11.82672787246,0.24842272390707065
-4,B,-11.82626555792,0.5385294777250278
-3,B,-11.82517720467,1.221481453158235
-2,B,-11.8232110055,2.455290060104704
-1,B,-11.82142343396,3.577008136907181
0,TS,-11.81976872142,4.615355932504163
1,F,-11.82144179496,3.565486435454809
2,F,-11.82331402374,2.3906451385093916
3,F,-11.82543902769,1.057185027596528
4,F,-11.82661749311,0.3176868117658378
5,F,-11.82709675925,0.01694276834777204
6,F,-11.82710305583,0.012991604744768516
7,F,-11.82711464053,0.005722095740651767
8,F,-11.82712375927,0.0
