irc_step,direction,energy_hartree,rel_energy_kcal_mol
-10,B,-12.55348861762,2.684071473920556
-9,B,-12.55344977016,2.7084486231107943
-8,B,-12.55340715634,2.735189198884009
-7,B,-12.55337004839,2.75847478906966
-6,B,-12.55333526501,2.780301689557585
-5,B,-12.5531960679,2.8676491948361376
-4,B,-12.5524157525,3.3573045010443123
-3,B,-12.55085330101,4.33775761368522
-2,B,-12.54799085415,6.133970137156792
-1,B,-12.54515720691,7.912110626230266
0,TS,-12.54336131703,9.039048540191205
1,F,-12.54520227439,7.883830355560755
2,F,-12.5483019085,5.938780585602877
3,F,-12.55196601519,3.6395189238802237
4,F,-12.55507641359,1.6877144599665888
5,F,-12.55652425104,0.779182743278619
6,F,-12.55737903886,0.24279528796892919
7,F,-12.55750293431,0.16504971930911863
8,F,-12.55754455102,0.13893483950746185
9,F,-12.55758525435,0.11339311430865898
10,F,-12.55763856589,0.07993961788492661
11,F,-12.5576881408,0.04883089218763695
12,F,-12.55772915852,0.023091884285142833
13,F,-12.55776595778,0.0
