irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-13.14601692861,2.7525943036623897
-19,B,-13.14597602464,2.7782619323624407
-18,B,-13.14593405958,2.8045954050890596
-17,B,-13.14589085605,2.831706029474151
-16,B,-13.14584642196,2.859588841917922
-15,B,-13.1458045361,2.885872615894547
-14,B,-13.14577036237,2.9073169552317633
-13,B,-13.14568499204,2.9608876461052005
-12,B,-13.14559444401,3.0177073927823574
-11,B,-13.14549781329,3.078344085061723
-10,B,-13.14539749796,3.1412929050242226
-9,B,-13.14529361888,3.2064780118741263
-8,B,-13.14518729678,3.273196136920085
-7,B,-13.14507864795,3.3413743070843456
-6,B,-13.14496901226,3.410171741246966
-5,B,-13.14485249382,3.483288166242974
-4,B,-13.14473932726,3.5543012547831307
-3,B,-13.14461987674,3.629257587757188
-2,B,-13.14431264443,3.8220487730010686
-1,B,-13.14392354111,4.066214792665836
0,TS,-13.14309749794,4.584564707774393
1,F,-13.14432974568,3.8113175766087664
2,F,-13.14477909698,3.529345378704334
3,F,-13.14498179938,3.4021477023022286
4,F,-13.14519137017,3.2706400461035283
5,F,-13.14541672549,3.1292274477874993
6,F,-13.14563918494,2.9896320353312587
7,F,-13.1458664831,2.847000286508212
8,F,-13.14610082033,2.6999514545727177
9,F,-13.14634614207,2.5460097385448153
10,F,-13.14660278479,2.3849640003115953
11,F,-13.14687533511,2.2139360923698232
12,F,-13.1471630036,2.03342138952386
13,F,-13.14747185126,1.839616556850328
14,F,-13.14780004005,1.6336749818646166
15,F,-13.14815570145,1.4104940838293585
16,F,-13.14853547321,1.172183706471403
17,F,-13.14895010118,0.9120007271106509
18,F,-13.14939402031,0.6334372673461804
19,F,-13.14988135776,0.3276284004361356
20,F,-13.15040346685,0.0
