irc_step,direction,energy_hartree,rel_energy_kcal_mol
-9,B,-12.280328345,3.667974219493328
-8,B,-12.28031681427,3.675209861810003
-7,B,-12.28029697216,3.6876609738188404
-6,B,-12.2802799577,3.6983377086644045
-5,B,-12.28024730098,3.718830109854289
-4,B,-12.27965610581,4.089810680011879
-3,B,-12.27851037226,4.808769337316827
-2,B,-12.27619576135,6.261209611965632
-1,B,-12.273787585,7.772363086652475
0,TS,-12.27209135846,8.836761310552722
1,F,-12.27397162545,7.656875960678405
2,F,-12.27712589136,5.677544218638098
3,F,-12.2808003248,3.3718024234564803
4,F,-12.28383150999,1.4697049992828461
5,F,-12.28516595521,0.6323279811991579
6,F,-12.28587720484,0.18601209999452284
7,F,-12.28597717412,0.1232804296861907
8,F,-12.28601177607,0.10156737824207848
9,F,-12.28605558669,0.07407579912954987
10,F,-12.28610025447,0.04604634399748527
11,F,-12.28614140304,0.020225226480769902
12,F,-12.28617363399,0.0
