irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-12.69671208633,0.0
-19,B,-12.69612741766,0.3668851295766479
-18,B,-12.69558992931,0.7041641613662781
-17,B,-12.69508283943,1.0223678652353345
-16,B,-12.69461523926,1.315791401955128
-15,B,-12.69417356471,1.592946366503835
-14,B,-12.69376394128,1.8499889496014583
-13,B,-12.69337575636,2.093578664565551
-12,B,-12.69301314713,2.3211193917507997
-11,B,-12.69266802571,2.537686352480356
-10,B,-12.69234320464,2.74151465126044
-9,B,-12.69203251334,2.936476385500477
-8,B,-12.6917375593,3.121562839994575
-7,B,-12.69145334097,3.2999125347540526
-6,B,-12.69117956268,3.471711005504275
-5,B,-12.69091136766,3.6400059214340863
-4,B,-12.69064320866,3.8082782344730033
-3,B,-12.69039345158,3.965003168370863
-2,B,-12.69014024042,4.123895570193664
-1,B,-12.68961039146,4.456380812382343
0,TS,-12.68798467808,5.4765313603415695
1,F,-12.68783447937,5.570782473848656
2,F,-12.68839869127,5.216734161254837
3,F,-12.68877325142,4.981694118546953
4,F,-12.68901105845,4.832467954238998
5,F,-12.68905263827,4.806376223260966
6,F,-12.68907902145,4.789820527856837
7,F,-12.68910547296,4.773221954730704
