irc_step,direction,energy_hartree,rel_energy_kcal_mol
-20,B,-13.15040347018,0.0
-19,B,-13.14988136084,0.3276285573140745
-18,B,-13.14939402301,0.633437662677739
-17,B,-13.14895010367,0.9120012542197674
-16,B,-13.14853547539,1.1721844281079152
-15,B,-13.14815570345,1.4104949184175855
-14,B,-13.1478000418,1.6336759733307822
-13,B,-13.14747185286,1.8396176424423651
-12,B,-13.14716300502,2.033422588067612
-11,B,-13.14687533642,2.2139373599390657
-10,B,-13.14660278598,2.384965343181981
-9,B,-13.1463461432,2.546011119065772
-8,B,-13.14610082139,2.6999528790198988
-7,B,-13.14586648416,2.847001710955393
-6,B,-13.14563918603,2.9896334409537113
-5,B,-13.1454167267,3.129228778107694
-4,B,-13.1451913713,3.2706414266256
-3,B,-13.14498180044,3.40214912674941
-2,B,-13.14477909449,3.5293490308108892
-1,B,-13.14432973132,3.811328677252837
0,TS,-13.14309749794,4.5845667973816715
1,F,-13.14392355126,4.066210513051983
2,F,-13.14431264652,3.8220495511139956
3,F,-13.14461987718,3.6292594012602755
4,F,-13.14473932889,3.5543023215504395
5,F,-13.14485249556,3.483289163983678
6,F,-13.14496901619,3.410171364742365
7,F,-13.14507866834,3.341363601772948
8,F,-13.14518733959,3.273171362846231
9,F,-13.14529372145,3.206415737834347
10,F,-13.14539771573,3.141158341892631
11,F,-13.14549825046,3.078071846352406
12,F,-13.14559523399,3.017213762454478
13,F,-13.14568638834,2.960013544233891
14,F,-13.14577253693,2.905954487836939
15,F,-13.14580851782,2.8833761384784937
16,F,-13.14585027758,2.857171493447514
17,F,-13.14589461373,2.8293501392811384
18,F,-13.14593770389,2.80231065564487
19,F,-13.14597956461,2.776042657256612
20,F,-13.14602033806,2.7504569310943103
