irc_step,direction,energy_hartree,rel_energy_kcal_mol
-6,B,-12.41614843797,5.3753163537685795
-5,B,-12.41613490327,5.383809506245691
-4,B,-12.41594232038,5.504657094251836
-3,B,-12.41562329178,5.704850563228718
-2,B,-12.41538795026,5.852529596654167
-1,B,-12.41410507712,6.657544645943791
0,TS,-12.41566257153,5.680202147967256
1,F,-12.41745162733,4.55755268395275
2,F,-12.4181244747,4.135334584720821
3,F,-12.4184382548,3.93843459921875
4,F,-12.41871467233,3.7649799803644433
5,F,-12.41900621753,3.5820326052643345
6,F,-12.41929487618,3.4008965676374614
7,F,-12.41958748408,3.217282338221006
8,F,-12.41988616876,3.029854871781968
9,F,-12.42019477623,2.8362007606097626
10,F,-12.42051324716,2.6363572348406614
11,F,-12.42084578063,2.4276893319941544
12,F,-12.42119101409,2.211052065101773
13,F,-12.42155408222,1.9832233738196021
14,F,-12.42193270179,1.7456360066026815
15,F,-12.42233361056,1.494061955217655
16,F,-12.4227535042,1.2305747180463187
17,F,-12.42320153069,0.9494338509683679
18,F,-12.42367275732,0.6537346762415862
19,F,-12.42417966576,0.33564482769088066
20,F,-12.42471454984,0.0
