irc_step,direction,energy_hartree,rel_energy_kcal_mol
-8,B,-11.82712317459,0.0
-7,B,-11.82711394408,0.005792232474233142
-6,B,-11.82710114334,0.013824818098713292
-5,B,-11.82709386001,0.018395176675700762
-4,B,-11.82661743773,0.3173546710005205
-3,B,-11.82543901588,1.056825546243953
-2,B,-11.82331402345,2.390278428248193
-1,B,-11.82144179489,3.5651195871415142
0,TS,-11.81976872142,4.614989040264644
1,F,-11.82142343388,3.5766412948684243
2,F,-11.82321100516,2.454923381218424
3,F,-11.82517718869,1.2211245885198259
4,F,-11.82626550563,0.5381953979558328
5,F,-11.8267275833,0.2482372823064615
6,F,-11.82674205259,0.23915766575000938
