irc_step,direction,energy_hartree,rel_energy_kcal_mol
-12,B,-12.2861725062,0.0
-11,B,-12.28614003392,0.020376663341841433
-10,B,-12.28609863085,0.04635748201952737
-9,B,-12.28605371105,0.07454508209005294
-8,B,-12.28600973682,0.10213932802664259
-7,B,-12.28597432098,0.1243631031570056
-6,B,-12.2858704231,0.18956000718488192
-5,B,-12.28516533591,0.6320088989065177
-4,B,-12.28383140427,1.469063640674636
-3,B,-12.28080031855,3.3710986464807426
-2,B,-12.27712589105,5.676836714256891
-1,B,-12.27397162545,7.656168261768688
0,TS,-12.27209135846,8.836053611643004
1,F,-12.273787585,7.771655387742758
2,F,-12.27619576121,6.260502000907249
3,F,-12.27851036646,4.808065277961246
4,F,-12.27965603047,4.089150257665386
5,F,-12.28024649561,3.718627788249662
6,F,-12.28027898777,3.698238650018445
7,F,-12.28029657545,3.6872022141925296
8,F,-12.28031588165,3.6750873907853037
9,F,-12.28032801555,3.667473253579648
