irc_step,direction,energy_hartree,rel_energy_kcal_mol
-6,B,-12.41614844844,5.374862576567905
-5,B,-12.41613491945,5.38335214596618
-4,B,-12.41594235402,5.504188777656003
-3,B,-12.41562330153,5.704397237834902
-2,B,-12.41538817586,5.85194082333977
-1,B,-12.41410575956,6.656669201202095
0,TS,-12.41566257153,5.67975494079076
1,F,-12.41745159989,4.557122695635416
2,F,-12.41812429718,4.1349987730264495
3,F,-12.41843799568,3.9381499922972343
4,F,-12.41871436435,3.76472603355502
5,F,-12.4190058667,3.58180554723754
6,F,-12.41929448889,3.4006923886057523
7,F,-12.41958705941,3.2171016154920316
8,F,-12.4198857247,3.029686316462144
9,F,-12.42019429466,2.836055743170584
10,F,-12.4205127582,2.6362168546974365
11,F,-12.42084525231,2.4275736506225254
12,F,-12.42119048691,2.210935668370399
13,F,-12.42155350989,1.9831353091405373
14,F,-12.421932138,1.745542582992265
15,F,-12.42233299041,1.4940038980418902
16,F,-12.42275290085,1.2305061187105184
17,F,-12.42320085228,0.9494123524931245
18,F,-12.4236721067,0.6536957392794043
19,F,-12.424178921,0.33566496447101013
20,F,-12.42471383717,0.0
