irc_step,direction,energy_hartree,rel_energy_kcal_mol
-5,B,-239.265869557051,0.4101124387200261
-4,B,-239.26406953965,1.5396404112095952
-3,B,-239.260944471472,3.5006502998055025
-2,B,-239.256512125314,6.281989505987713
-1,B,-239.251221747234,9.601751872223925
0,TS,-239.249332765914,10.787105546737711
1,F,-239.251221741728,9.601755327306199
2,F,-239.256512144609,6.281977398200607
3,F,-239.26094449182,3.5006375312356495
4,F,-239.26406954625,1.5396362696444947
5,F,-239.265869557796,0.41011197121400383
6,F,-239.266187257152,0.2107526154382773
7,F,-239.266334333522,0.11846079987164145
8,F,-239.266444133199,0.04956046230846256
9,F,-239.266523112823,0.0
